IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
9671.0,15284.0,2055.0,29.9,34.9,16.1,20.6,11.4,7.6,44.3,84.7,14.4,0.0,1.0,0.0,0.0,31.8,447,85.5,8.1,6.5,0.0,14.0
4763.0,15601.0,2134.0,37.4,70.4,16.0,32.3,27.9,1.6,22.2,89.2,6.3,0.0,1.3,0.7,2.4,19.4,1335,76.7,22.3,1.0,0.0,14.6
5337.0,12336.0,2742.0,48.2,71.3,18.4,35.1,21.5,9.8,15.2,76.1,17.0,1.6,5.4,0.0,0.0,16.5,716,72.2,24.4,3.4,0.0,27.2
7317.0,14361.0,2591.0,35.4,52.7,15.8,29.2,25.1,5.2,24.7,79.2,19.9,0.0,0.0,0.0,0.9,27.3,713,76.0,20.2,3.8,0.0,17.1
4491.0,12088.0,2247.0,54.1,86.6,3.9,34.6,10.8,6.5,44.2,78.5,14.0,0.0,1.7,3.1,2.7,17.7,489,83.4,14.7,1.8,0.0,16.4
4433.0,10360.0,2183.0,62.1,88.8,16.1,26.2,18.9,7.3,31.5,83.5,12.8,2.8,0.9,0.0,0.0,20.3,454,87.0,6.4,6.6,0.0,30.5
9394.0,19045.0,2511.0,29.3,46.5,29.0,19.7,21.1,4.9,25.3,85.5,12.1,1.3,1.1,0.0,0.0,22.3,1105,88.3,11.3,0.4,0.0,19.1
8713.0,16776.0,3167.0,26.8,30.8,27.9,28.8,22.3,0.0,21.1,74.5,15.5,0.0,6.4,2.7,0.9,16.5,337,92.3,5.0,2.7,0.0,17.4
14504.0,29693.0,5201.0,21.4,38.9,38.9,14.7,34.3,2.4,9.7,89.2,5.6,0.0,2.5,0.9,1.9,22.8,1532,80.2,14.8,5.0,0.0,7.5
9590.0,25508.0,2360.0,10.3,13.4,32.1,23.2,23.6,6.4,14.7,83.9,6.1,0.0,2.3,2.5,5.2,21.8,2812,75.4,21.1,3.5,0.0,13.4
4576.0,24920.0,3380.0,11.5,19.9,31.8,15.2,25.4,8.8,18.7,85.6,12.9,0.1,0.9,0.0,0.5,18.7,3113,74.3,22.6,3.1,0.0,13.5
6697.0,18568.0,2050.0,25.0,47.4,18.9,28.4,18.5,19.4,14.9,83.8,14.2,0.0,0.6,1.0,0.4,20.9,1298,77.9,15.0,7.1,0.0,14.7
5715.0,25669.0,3580.0,10.1,15.2,38.0,10.9,27.4,12.1,11.7,88.6,8.7,0.0,0.0,0.0,2.6,22.6,1758,76.7,16.6,6.8,0.0,9.2
8182.0,15895.0,1451.0,22.4,35.8,18.1,16.6,26.3,12.4,26.7,80.3,14.8,0.0,1.3,3.6,0.0,20.5,858,82.1,17.0,0.9,0.0,11.8
6254.0,18298.0,2652.0,16.9,20.3,18.3,10.9,33.2,11.3,26.3,87.7,4.1,0.0,0.0,3.5,4.8,20.1,1199,79.7,14.7,5.6,0.0,13.9
9731.0,18416.0,2477.0,15.6,25.9,10.9,20.3,25.2,14.7,28.9,92.5,6.0,0.0,0.0,0.0,1.5,18.4,1914,79.5,15.2,5.4,0.0,16.9
7472.0,16029.0,1730.0,30.3,54.6,16.2,7.0,29.0,14.0,33.8,81.5,13.9,0.0,0.0,4.6,0.0,21.4,1415,84.2,13.0,2.8,0.0,13.5
5076.0,23556.0,2495.0,6.8,9.1,26.7,16.4,16.7,15.8,24.4,84.8,8.4,0.0,0.0,1.0,5.8,25.8,2861,63.4,31.4,5.2,0.0,11.9
3998.0,23097.0,3569.0,17.8,32.2,32.7,18.9,21.6,9.7,17.1,86.3,9.2,0.0,0.5,1.6,2.5,26.0,2527,71.6,24.4,4.0,0.0,10.5
7919.0,25409.0,3206.0,18.5,30.2,31.9,12.6,27.7,13.5,14.2,87.4,8.0,0.8,0.6,2.0,1.2,25.4,2902,75.6,18.0,5.8,0.5,5.8
4544.0,11530.0,2249.0,53.5,51.4,27.3,33.2,26.2,3.5,9.9,68.6,13.5,0.0,7.5,1.6,8.8,20.4,1767,78.7,17.4,3.9,0.0,15.2
2704.0,28353.0,3977.0,16.3,32.9,40.9,15.7,26.7,1.3,15.4,88.7,4.3,0.0,1.9,0.7,4.5,20.2,1335,71.8,23.7,4.6,0.0,12.3
5238.0,22459.0,2473.0,26.1,41.8,33.3,14.9,24.7,8.8,18.3,81.3,10.4,0.0,2.5,1.3,4.6,23.4,3057,72.4,21.9,5.4,0.4,11.8
11267.0,19907.0,2890.0,21.2,34.8,21.5,11.1,28.1,10.1,29.1,85.6,12.6,0.0,0.4,0.6,0.7,27.5,1212,71.2,17.4,11.4,0.0,6.3
5089.0,17768.0,2246.0,29.7,43.5,26.3,18.2,26.8,11.5,17.2,80.3,8.2,0.0,0.0,4.7,6.9,32.3,1299,72.0,22.7,5.3,0.0,12.6
7881.0,23727.0,2769.0,13.0,22.2,27.1,13.7,22.4,14.0,22.8,92.3,7.2,0.5,0.0,0.0,0.0,23.6,1905,70.2,25.7,4.0,0.0,8.5
6446.0,23849.0,1995.0,12.5,13.5,32.3,10.8,18.6,13.0,25.3,88.8,6.0,0.6,0.6,0.4,3.6,30.4,3539,64.8,31.5,3.7,0.0,9.7
8071.0,21199.0,2325.0,11.6,8.5,24.4,13.1,20.8,14.0,27.8,87.2,12.1,0.0,0.1,0.0,0.5,35.5,1869,66.6,21.5,11.7,0.2,8.2
9359.0,24956.0,3457.0,10.1,12.0,22.4,18.6,25.2,17.5,16.2,87.0,8.6,0.0,1.4,0.5,2.5,32.8,2080,71.8,16.2,10.9,1.1,9.9
,,,0.0,,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,0,,,,,
8829.0,18461.0,2551.0,25.9,43.4,22.4,11.1,23.8,16.2,26.5,82.8,15.1,0.0,0.1,0.0,2.0,34.2,1241,87.8,9.5,2.6,0.1,10.4
3049.0,18394.0,2877.0,24.7,48.7,25.7,27.6,20.9,9.9,15.9,90.7,5.9,0.0,1.0,0.0,2.5,22.3,1139,81.0,13.4,5.5,0.0,15.9
5908.0,20712.0,1533.0,17.7,40.1,22.8,12.1,24.7,12.5,27.9,82.9,13.8,1.0,1.3,0.2,0.8,28.1,2551,84.6,12.2,3.2,0.0,7.9
10171.0,21129.0,3193.0,18.6,28.1,13.0,8.2,38.1,17.3,23.3,82.3,9.1,0.0,0.0,0.0,8.6,25.8,1628,87.4,8.9,3.7,0.0,4.8
12955.0,28523.0,7280.0,21.3,35.9,29.5,9.1,26.8,12.1,22.5,89.5,8.3,0.0,0.0,1.4,0.7,23.3,2211,79.5,17.7,2.8,0.0,5.1
2918.0,22398.0,5280.0,29.6,58.4,16.6,21.1,25.7,1.3,35.3,85.6,13.6,0.0,0.0,0.0,0.8,24.7,374,94.4,5.6,0.0,0.0,8.1
3991.0,16356.0,3707.0,29.0,45.0,20.8,15.0,22.5,4.5,37.1,78.5,18.5,0.0,0.0,0.0,3.0,20.5,1291,90.9,7.2,1.9,0.0,17.2
7153.0,26030.0,9607.0,15.6,21.4,23.4,21.8,23.0,13.6,18.1,86.5,12.7,0.0,0.0,0.0,0.8,25.3,1429,87.5,10.4,2.1,0.0,8.6
8581.0,18299.0,2402.0,19.8,27.5,27.6,16.9,27.7,7.7,20.1,86.6,11.8,0.0,0.0,0.9,0.7,20.9,1825,83.6,15.0,1.4,0.0,6.4
4324.0,22348.0,5620.0,21.6,31.1,37.2,10.5,19.3,9.0,24.0,81.1,13.4,0.9,0.3,1.5,2.8,29.0,1106,80.9,14.3,4.8,0.0,12.7
4299.0,17838.0,3277.0,31.3,53.2,23.9,18.9,17.6,18.0,21.6,84.8,13.6,0.5,0.0,0.1,1.0,30.9,1617,74.3,16.0,9.6,0.0,10.8
